City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Middleton,GB,53.55,-2.2,39.0,89,100,4.25,snow
268,Talnakh,RU,69.4865,88.3972,31.55,98,100,8.81,snow
269,Kendari,ID,-3.945,122.4989,74.19,93,100,3.78,overcast clouds
270,Rawah,IQ,34.4816,41.9093,61.2,33,0,20.6,clear sky
271,Ilo,PE,-17.6394,-71.3375,73.4,68,0,9.22,clear sky
272,Ojinaga,MX,29.5667,-104.4167,84.0,12,1,1.61,clear sky
273,Chiang Khong,TH,20.2613,100.4046,73.4,83,0,1.14,clear sky
274,Lisakovsk,KZ,52.5369,62.4936,31.86,98,88,6.06,overcast clouds
275,Port Macquarie,AU,-31.4333,152.9167,55.99,99,2,6.22,clear sky
276,Vaasa,FI,63.096,21.6158,32.0,100,40,4.61,light snow
277,Plettenberg Bay,ZA,-34.0527,23.3716,62.55,78,100,3.87,overcast clouds
278,Ornes,NO,66.8689,13.7078,33.8,93,75,25.32,snow
279,Kokkola,FI,63.8385,23.1307,32.0,80,0,8.05,clear sky
280,Bucerias,MX,20.75,-105.3333,78.8,73,40,14.97,scattered clouds
281,Tyukhtet,RU,56.5389,89.3011,23.11,96,18,2.53,few clouds
282,Port Blair,IN,11.6667,92.75,78.8,89,20,2.3,mist
283,Cabedelo,BR,-6.9811,-34.8339,77.0,100,75,8.05,broken clouds
284,Pindiga,NG,9.9833,10.9333,89.35,16,100,3.11,overcast clouds
285,Isangel,VU,-19.55,169.2667,78.85,85,100,11.99,overcast clouds
286,Umm Bab,QA,25.2142,50.8072,77.0,73,1,6.91,clear sky
287,Usinsk,RU,65.9939,57.5281,33.21,85,78,22.19,broken clouds
288,Tasiilaq,GL,65.6145,-37.6368,39.2,38,4,3.44,clear sky
289,Krasnoselkup,RU,65.7,82.4667,33.1,86,100,11.54,overcast clouds
290,Klaksvik,FO,62.2266,-6.589,30.2,80,75,13.8,light snow
291,Lingao,CN,19.9103,109.6859,72.39,91,42,13.58,scattered clouds
292,Hofn,IS,64.2539,-15.2082,32.05,47,90,4.47,overcast clouds
293,Aksarka,RU,66.5606,67.7975,26.65,92,91,10.16,overcast clouds
294,Inirida,CO,3.8653,-67.9239,73.69,96,100,2.3,overcast clouds
295,Kang,BW,-23.6752,22.7876,70.75,37,0,3.83,clear sky
296,Giyani,ZA,-23.3025,30.7187,69.15,60,0,2.35,clear sky
